# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
050005b0 0x00000000
050005b4 0x00000000
050005b8 0x00000000
050005bc 0x00000000
050005c0 0x00000000
050005c4 0x00000000
050005c8 0x00000000
050005cc 0x00000000
050005d0 0x00000000
050005d4 0x00000000
050005d8 0x00000000
050005dc 0x00000000
050005e0 0x00000000
050005e4 0x00000000
050005e8 0x00000000
050005ec 0x00000000
050005f0 0x00000000
050005f4 0x00000000
050005f8 0x00000000
050005fc 0x00000000
05000600 0x02022802
05000604 0x007B0A08
05000608 0x00000000
0500060c 0x40000000
05000610 0x0304200D
05000614 0x02460246
05000618 0xA2825246
0500061c 0x9DF50C20
05000620 0x00000000
05000624 0x00210000
05000628 0x00000030
0500062c 0x00000000
05000630 0x00810700
05000634 0x0800C311
05000638 0x801300A7
0500063c 0x00651500
05000640 0x09005E05
05000644 0xF20E001B
05000648 0x19001E04
0500064c 0x00000000
05000650 0x00000000
05000654 0x01400000
05000658 0x03080280
0500065c 0x00200016
05000660 0x00000000
05000664 0x00000000
05000668 0x00000000
0500066c 0x00000000
05000670 0x00000000
05000674 0x00000000
05000678 0x00000000
0500067c 0x00000000
05000680 0x00000000
05000684 0x00000000
05000688 0x00000000
0500068c 0x00000000
05000690 0x00000000
05000694 0x00000000
05000698 0x00000000
0500069c 0x00000000
050006a0 0x00000000
050006a4 0x00000000
050006a8 0x00000000
050006ac 0x00000000
050006b0 0x00000000
050006b4 0x00000000
050006b8 0x00000000
050006bc 0x00000000
050006c0 0x00000000
050006c4 0x00000000
050006c8 0x00000000
050006cc 0x00000000
050006d0 0x00000000
050006d4 0x00000000
050006d8 0x00000000
050006dc 0x00000000
050006e0 0x00000000
050006e4 0x00000000
050006e8 0x00000000
050006ec 0x00000000
050006f0 0x00000000
050006f4 0x00000000
050006f8 0x00000000
050006fc 0x00000000
05000700 0x00000000
05000704 0x00000003
05000708 0x000000C0
0500070c 0x00000000
05000710 0x00000000
05000714 0x00000000
05000718 0x00000000
0500071c 0x00000000
05000720 0x00000000
05000724 0x000000C0
05000728 0x00000000
0500072c 0x00000000
05000730 0x00000000
05000734 0x00000000
05000738 0x00000000
0500073c 0x00000C00
05000740 0x00000000
05000744 0x00000000
05000748 0x00000000
0500074c 0x00000000
05000750 0x00000000
05000754 0x00000000
05000758 0x00000000
0500075c 0x00000000
05000760 0x00000000
05000764 0x00000000
05000768 0x00000000
0500076c 0x00000000
05000770 0x00000000
05000774 0x00000000
05000778 0x00000000
0500077c 0x00000000
05000780 0x04000000
05000784 0x04000400
05000788 0x00000000
0500078c 0x00000000
05000790 0x00000000
05000794 0x00000000
05000798 0x04000000
0500079c 0x04000400
050007a0 0x00000000
050007a4 0x00000000
050007a8 0x00000000
050007ac 0x00000000
050007b0 0x00000000
050007b4 0x00000000
050007b8 0x00000000
050007bc 0x00000000
050007c0 0x00000000
050007c4 0x00000000
050007c8 0x00000000
050007cc 0x00000007
050007d0 0x00000300
050007d4 0x0000003F
050007d8 0x00000000
050007dc 0x00000000
050007e0 0x00000000
050007e4 0x00000000
050007e8 0x00000000
050007ec 0x00000000
050007f0 0x00000000
050007f4 0x00000000
050007f8 0x00000000
